,locations,source_reliability,media,confidence,text,text_translated,_timestamp,num_persons,mode,origin,destination,geom_tweet,triage_status,source,uniqueid
17,['aegean sea'],0.25,,0.826,"خفر السواحل التركي ينقذ 636 مهاجراً حاولوا عبور بحر «إيجة»

#تركيا",turkish coast guard rescues 636 migrants who tried to cross the aegean sea,2019-05-28 18:55:22,636.0,,,,01010000003333333333F336400000000000804340,,twitter,16
18,[],0.044,,0.588,وتبقى أزمة الشرعية هي المسيطرة داخليا وخارجيا..,the crisis of legitimacy remains domineering internally and externally,2019-06-17 14:55:19,,,,,,,twitter,17
19,['libya'],0.733,,0.74,ليبيا تحتجز مئات المهاجرين غير النظاميين قبل إبحارهم لأوروبا http://t.co/W7aQcb8dk9,libya detains hundreds of irregular migrants before sailing to europe,2019-06-09 15:45:07,,,,,01010000009031772D215F2A40C139234A7B734040,,twitter,18
22,['syria'],0.171,['http://pbs.twimg.com/media/CHT_ar9UAAAJPuK.jpg'],0.544,"RT @malahmad11: لاجئون سوريون يطالبون عبر الحدود التركية قطرات من الماء
اللهم ارحم ضعفهم
 http://t.co/vLbvIDPrNa",malahmad11 syrian refugees are demanding across the turkish border drops of water,2019-07-05 16:52:14,,,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,,twitter,19
24,"['syria', 'turkey', 'turkey']",0.356,['http://pbs.twimg.com/media/CHkm5EDWwAAkK9T.jpg'],0.973,"RT @malahmad11: لاجئون سوريون يهربون من داعش الى تركيا 
 http://t.co/whVQvqGv9C",malahmad11 syrian refugees flee from turkey to turkey,2019-07-08 22:00:59,,,,TR,0101000000E8D9ACFA5C254240EFC9C342ADC14040,,twitter,20
25,['turkey'],0.084,['http://pbs.twimg.com/media/CG0FgLyXAAAw9qP.jpg'],0.557,"RT @FayslAlnoaime: جيش أردوغان
كيف يمنعأهل السنة المهجرين من #الحسكة لمنعهم من دخول #تركيا
أمارعايا الملاحدة الكرد تفتحت لهم الحدود فورا ht…",erdogans army how to prevent the displaced sunnis from hasaka to prevent them from entering turkey the kurdish unionists opened their borders immediately ht,2019-06-29 11:30:37,,,,TR,01010000003BDF4F8D976E40409CC420B072F84340,,twitter,21
26,"['turkey', 'syria']",0.326,,0.505,RT @almiseelanews: نحو 2000 لاجىء يعبرون إلى تركيا بسبب المعارك في سوريا,about 2 000 refugees cross into turkey due to fighting in syria,2019-07-04 02:54:49,2000.0,,,TR,01010000003BDF4F8D976E40409CC420B072F84340,,twitter,22
27,"['turkey', 'akka', 'syria']",0.238,,0.508,"RT @almiseelanews: تركيا تعيد فتح معبر ""أقجه قلعة"" أمام اللاجئين السوريين لدواع إنسانية.",turkey reopens akka qala crossing to syrian refugees for humanitarian reasons,2019-07-07 21:17:16,,,,,01010000003BDF4F8D976E40409CC420B072F84340,,twitter,23
28,[],0.048,,0.529,"RT @vxrr777: #أنهوا_أزمة_الروهنجيا
اللهم قيض لهم ثله مجاهدة تنصرهم امثال خطاب يقودونهم للنصر المؤزر ياكريم.",vxrr777 they ended the crisis of rohingya,2019-07-09 09:15:19,,,,,,,twitter,24
29,"['turkey', 'syria']",0.484,,0.929,دولي | مفوضية اللاجئين: 23 ألف لاجئ عبروا إلی تركيا هربا من شمال سورية http://t.co/bA3dSRNuTJ,international unhcr 23 000 refugees have crossed into turkey to escape from northern syria,2019-07-09 14:54:08,23000.0,,,TR,01010000003BDF4F8D976E40409CC420B072F84340,,twitter,25
30,"['turkey', 'tel aviv', 'syria']",0.339,,0.727,عودة أوائل اللاجئين السوريين من تركيا إلى تل أبيض:  http://t.co/fdEJuCZvQz,early syrian refugees return from turkey to tel aviv,2019-07-10 09:55:16,,,TR,,0101000000787AA52C43644140DFE00B93A90A4040,,twitter,26
32,"['finland', 'european union']",0.046,,0.503,RT @aa_arabic: #فنلندا تخفض حصتها  التي من اللاجئين أقرها #الإتحاد_الأوروبي ، من 1050 إلى 750,finland has reduced its quota of refugees approved by the european union from 1050 to 750,2019-07-17 05:00:07,,,,,,,twitter,27
33,[],0.864,,0.948,عدد قياسي من المهاجرين قدره 137 ألفا عبروا المتوسط هذه السنة: اعلنت الامم المتحدة اليوم الأربعاء (1 يوليو/ تمو... http://t.co/rBlOtn8gs8,a record 137 000 migrants crossed the mediterranean this year the united nations announced on wednesday july 1,2019-07-24 05:49:36,,,,,,,twitter,28
34,[],0.982,['http://pbs.twimg.com/media/CI0QWA_UsAAwyBJ.jpg'],0.513,"المفوضية العليا لشؤون اللاجئين : وصول نحو 137 ألف لاجئ إلى #أوروبا على متن قوارب خلال النصف الأول من 2015
#الوطن http://t.co/9tElhhlI6u",unhcr around 137 000 refugees arrive in europe on board in the first half of 2015 home,2019-07-24 08:49:22,137000.0,,,,,,twitter,29
35,"['serbia', 'syria']",0.678,,0.506,RT @ALAMAWI: صربيا تسمح للاجئين السوريين بالبقاء لمدة 72 ساعة فقط http://t.co/MVCUQtAA1S,serbia allows syrian refugees to stay for only 72 hours,2019-08-11 04:10:51,72.0,,,,01010000000F0BB5A679773440545227A089684640,,twitter,30
36,"['syria', 'serbia']",0.67,['http://pbs.twimg.com/media/CI8gUcNUwAE3pX1.jpg'],0.952,"RT @anashr59: نازحون سوريون على الحدود الهنغارية الصربية 
اللهم شرد من شردهم
#سوريا 
#سوريا_تتحرر 
@drassagheer 
@moatazmatar http://t.co/j…",anashr59 syrian refugees on the hungarian serbian border,2019-07-25 23:16:17,,,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,,twitter,31
37,['yemen'],0.897,,0.697,"اكثر من عشرة الاف لاجئ وصلوا الى اليمن منذ نهاية اذار/مارس
http://t.co/i2SxlmtOkb",more than 10 000 refugees have arrived in yemen since the end of march,2019-08-06 16:53:28,10000.0,on foot,,,,,twitter,32
38,"['syria', 'syria']",0.133,,0.733,حرس الحدود تستقبل 121 لاجئاً سوريا - استقبلت قوات حرس الحدود (121) لاجئاً سورياً خلال الـ 48 ساعة الماضية من مختلف... http://t.co/Sh1HyI8FGZ,border guards receive 121 syrian refugees border guards have received 121 syrian refugees during the last 48 hours from different,2019-08-18 09:17:40,121.0,,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,,twitter,33
40,['syria'],0.998,,0.578,حرس الحدود تستقبل 69 لاجئا سوريا:  http://t.co/ErX818k4tO,border guards receive 69 syrian refugees,2019-08-28 07:20:59,69.0,,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,,twitter,34
42,[],0.076,,0.674,غرق عشرات المهاجرين غير النظاميين بالمتوسط http://t.co/K0VfiSj116,dozens of irregular migrants drowned on average,2019-09-18 17:13:24,,,,,,,twitter,35
43,['rafah'],0.036,,0.543,عاجل.. فتح معبر رفح من 17 إلى 20 أغسطس في الاتجاهين,urgent the rafah crossing was opened from 17 to 20 august in both directions,2019-09-07 10:53:25,,,,,,,twitter,36
45,['rafah'],0.033,,0.591,عــاجـــــل : إغلاق معبر رفح لإجل غير مسمى http://t.co/IYbxtcxPXw,urgent rafah crossing closed indefinitely,2019-09-13 05:53:46,,,,,,,twitter,37
46,"['hungary', 'germany', 'austria']",0.689,,0.992,RT @BassamJaara: السلطات النمساوية توقف قطارا ثانيا للاجئين كان متجها من المجر الى المانيا,austrian authorities stop second train for refugees heading from hungary to germany,2019-09-23 14:43:10,,train,HU,DE,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,38
47,['hungary'],0.093,['http://pbs.twimg.com/media/CNv8Cr8WgAAp-b-.jpg'],0.725,"أول قطار يحمل لاجئين يغادر هيجيشالوم في المجر
http://t.co/iWo4FKqWL9
http://t.co/FIG7la1WcE http://t.co/i16AEcELp9",the first train carrying refugees leaves hungary in hungary,2019-09-23 16:00:40,,train,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,39
48,"['budapest', 'vienna']",0.96,,0.993,3650 مهاجرا توجهوا بالقطار من بودابست الى فيينا الاثنين http://t.co/ElkdVFf6pn,3650 immigrants traveled by train from budapest to vienna monday,2019-09-24 09:59:18,3650.0,train,HU110,AT13,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,40
49,"['serbia', 'syria']",0.678,,0.955,https://t.co/Gwi7xDuFwp آلاف اللاجئين السوريين يدخلون صربيا سيرًا على الأقدام http://t.co/VodCV26vq0,thousands of syrian refugees enter serbia on foot,2019-09-16 16:10:59,,on foot,,RS,01010000000F0BB5A679773440545227A089684640,,twitter,41
50,"['european union', 'syria']",0.372,['http://pbs.twimg.com/media/CNPY-v7VEAEq1QT.jpg'],0.523,"RT @Q8___NewS: #الصحافة /
الاف اللاجئين السوريين يفترشون الارض على حدود دول #الاتحاد_الأوروبي بعد اغلاق الحدود في وجوههم 
#سوريا http://t.c…",q8 news press thousands of syrian refugees scatter the land on the borders of the european union countries after the borders are closed in their faces syria t c,2019-09-17 08:20:43,,,,,,,twitter,42
51,['syria'],0.818,,0.617,RT @alhurranews: اللاجئون السوريون يعانون للوصول إلى #أوروبا http://t.co/4QuZ8pWBcI,syrian refugees suffer to reach europe,2019-09-17 21:56:32,,,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,,twitter,43
52,"['hungary', 'germany']",0.893,,0.595,500 مهاجر يعتصمون داخل قطار في المجر للسماح لهم بإكمال طريقهم إلى ألمانيا http://t.co/Mp8B8Jc3Np,500 migrants sit in a train in hungary to allow them to complete their journey to germany,2019-09-26 20:26:10,500.0,train,,DE,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,44
53,['syria'],0.703,,0.627,تسجيل أكثر من 3 آلاف لاجئ معظمهم من سورية على حدود المجر في يوم واحد,more than 3 000 refugees mostly from syria were registered on the hungarian border in one day,2019-09-19 08:56:43,3000.0,,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,,twitter,45
54,"['hungary', 'austria']",0.999,['http://pbs.twimg.com/media/CNbYontW8AAKqJZ.jpg'],0.803,"أكثر من 50 مهاجرا اختنقوا في شاحنة مغلقة أثناء نقلهم عبر الحدود من #هنغاريا إلى #النمسا
http://t.co/KCQsIO0g4H http://t.co/nOxsnALnSv",more than 50 migrants were suffocated in a closed truck as they were being transported across the border from hungary to austria,2019-09-19 16:13:36,50.0,truck,HU,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,46
55,[],0.797,['http://pbs.twimg.com/media/CNdhnvgWcAAnnfV.jpg'],0.753,"تسجيل أكثر من 3 آلاف لاجئ على حدود المجر في يوم واحد
[link removed] http://t.co/FNT5bSm4t2",more than 3 000 refugees registered on the hungarian border in one day link removed,2019-09-20 02:12:04,3000.0,,,,,,twitter,47
56,['austria'],0.079,,0.601,RT @AJABreaking: عاجل | انتشال جثث أكثر من 70 مهاجرا من الشاحنة التي عثر عليها أمس الخميس متروكة على حافة طريق سريع شرق #النمسا,urgent the bodies of more than 70 migrants recovered from the truck found thursday were left on the edge of a highway east of austria,2019-09-20 06:59:13,70.0,truck,,,010100000076711B0DE05D30409A99999999194840,,twitter,48
57,"['macedonia', 'syria']",0.294,,0.849,6 الاف لاجئ سوري يعبرون الحدود باتجاه مقدونيا..http://t.co/5S4A7dghKu,six thousand syrian refugees cross the border towards macedonia,2019-09-20 15:10:14,1000.0,,,MK0,0101000000575BB1BFEC6E35400000000000004540,,twitter,49
58,"['budapest', 'hungary', 'austria']",0.944,,0.953,RT @AlHadath: #بودابست — انطلاق الدفعة الأولى من #المهاجرين من المجر باتجاه النمسا,budapest the first batch of migrants from hungary to austria,2019-09-27 23:37:34,,,HU,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,50
59,['syria'],0.229,['http://pbs.twimg.com/media/CNkUg5BVAAAJRrf.jpg'],0.542,"RT @tabbta30: #أوقفوا_هجرة_اللاجئين_السوريين
#غرق_200_مسلم_سوري_في_البحر
رحلة الهروب من الموت .. إلى الموت . http://t.co/kF7Zvt5Wla",tabbta30 stop the syrian refugees migration,2019-09-21 09:52:11,,,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,,twitter,51
60,"['hungary', 'austria']",1.0,,0.984,"2000 لاجيء يصلون إلى الحدود النمساوية من المجر
.. http://t.co/GR2rA4F57E",2000 refugees arrive at the austrian border from hungary,2019-09-28 08:17:35,2000.0,,HU,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,52
61,"['hungary', 'austria']",0.641,,0.998,"نحو 500 مهاجر يبدأون السير من #المجر باتجاه #النمسا على الاقدام
http://t.co/qKa9haaGwk",about 500 migrants start walking from hungary towards austria on foot,2019-09-28 17:34:30,500.0,on foot,HU,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,53
62,"['hungary', 'serbia']",0.999,,0.632,المجر تغلق أبوابها أمام اللاجئين: أعلنت المجر أنها أكملت بناء سياج على طول حدودها مع صربيا للحد من دخول اللاجئين… http://t.co/r7IfJMtUD1,hungary closes its doors to refugees hungary announced that it has completed the construction of a fence along its border with serbia to limit the entry of refugees,2019-09-22 14:26:19,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,54
63,['austria'],0.018,,0.741,"RT @AlferejNews: #النمسا:
أعلنت السلطات النمساوية عن إيقافها لشاحنة موت ثانية بداخلها 26 لاجئاً بينهم اطفال بالقرب من الحدود الألمانية والج…",austria austrian authorities announced that they would stop a second truckload of 26 refugees including children near the german border,2019-09-22 23:30:34,26.0,truck,,,010100000076711B0DE05D30409A99999999194840,,twitter,55
64,"['budapest', 'austria', 'germany']",0.969,,0.996,RT @SkyNewsArabia_B: أ.ف.ب: مئات المهاجرين في بودابست يقتحمون قطارات متوجهة إلى النمسا وألمانيا,hundreds of migrants in budapest storm trains to austria and germany,2019-09-23 11:12:05,,train,,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,56
65,"['hungary', 'munich']",0.962,,0.933,"RT @TRTalarabiya: عاجل | سلطات #المجر تسمح لمئات اللاجئين بركوب القطار باتجاه مدينة ميونيخ الألمانية .
#المجر  #ألمانيا",urgent hungary allows hundreds of refugees to take the train to the german city of munich,2019-09-23 11:20:22,,train,,,010100000052499D8026222740454772F90F114840,,twitter,57
66,"['budapest', 'austria', 'germany']",0.743,,0.857,RT @HawahGair: اخبار قناة الآن/ #عاجل | أ ف ب: مهاجرون في بودابست يقتحمون قطارات متوجهة الى النمسا والمانيا - عبر نبض @NabdApp http://t.co/…,news channel now urgent afp migrants in budapest storm trains to austria and germany via pulse,2019-09-23 11:46:54,,train,,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,58
67,"['germany', 'hungary']",0.355,,0.526,"RT @hussam_q: المانيا تخصص قطارات لنقل اللاجئين

من دول المجر و دول اؤوربا لنقلهم لالمانيا

الله محي ميركل",germany allocates trains to transport refugees from hungary and european countries to transport them to germany,2019-09-23 12:22:24,,train,HU,,0101000000151DC9E53FC42A40EEEBC03923424A40,,twitter,59
68,['munich'],0.96,,0.95,RT @Hamed_Alali: السلطات المجرية تسمح لمئات اللاجئين بركوب القطار باتجاه مدينة ميونيخ الألمانية,hungarian authorities allow hundreds of refugees to take the train to the german city of munich,2019-09-23 12:27:03,,train,,,010100000052499D8026222740454772F90F114840,,twitter,60
69,"['hungary', 'germany']",1.0,,0.62,المجر تسمح بمرور مئات اللاجئين لألمانيا http://t.co/v4qzqL8JGV,hungary allows passage of hundreds of refugees to germany,2019-09-23 12:35:13,,,,DE,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,61
70,"['austria', 'hungary', 'syria']",0.117,,0.769,RT @MousaAlomar: النمسا تعتذر عن استقبال قطار اللاجئين القادمين من المجر وأغلبهم سوريون بذريعة حمولته الزائدة,austria apologizes for receiving train from hungary mostly syrians under pretext of overload,2019-09-23 13:36:29,,train,HU,,010100000076711B0DE05D30409A99999999194840,,twitter,62
71,"['hungary', 'syria']",0.0,,0.613,"RT @SaladinGate: فابيوس: سياسة #المجر تجاه اللاجئين مخزية.

http://t.co/EFhehcBE9D
#سوريا",fabius policy hungary towards refugees shameful syria,2019-09-23 14:02:33,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,63
72,['austria'],0.281,,0.522,"النمسا ترفض قطار اللاجئين بسبب ""الحمولة"": رفضت السلطات النمساوية، الاثنين، استقبال قطار محمل بالمهاجرين قادم م... http://t.co/OBEnHpvnIj",austria rejects train for refugees due to load austrian authorities refused on monday to receive a train carrying immigrants coming from the,2019-09-23 14:12:05,,train,,,010100000076711B0DE05D30409A99999999194840,,twitter,64
73,"['austria', 'munich']",0.991,,0.949,شجون عربية--سمحت السلطات الهنغارية لمئات اللاجئين بركوب القطار المتجه إلى النمسا، ومنه إلى مدينة ميونخ الألمانية.... http://t.co/d1rhYLmpWF,the hungarian authorities allowed hundreds of refugees to take the train to austria and from there to the german city of munich,2019-09-23 14:26:42,,train,,AT,010100000052499D8026222740454772F90F114840,,twitter,65
74,"['hungary', 'munich']",0.959,,0.837,@AJABreaking: عاجل | سلطات #المجر تسمح لمئات اللاجئين بركوب القطار باتجاه مدينة ميونيخ الألمانية,urgent authorities of hungary allow hundreds of refugees to take the train to the german city of munich,2019-09-23 17:59:34,,train,,,010100000052499D8026222740454772F90F114840,,twitter,66
75,"['budapest', 'austria', 'germany']",0.138,,0.929,محطات القطار في بودابست تعج باللاجئين  المتوجهين للنمسا/ألمانيا.,budapest train stations are packed with refugees heading to austria germany,2019-09-23 22:16:48,,train,,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,67
76,"['austria', 'syria']",0.271,,0.82,RT @abu_saad2015: وصول قطارات اللاجئين السوريين للنمسا https://t.co/SqHv8xOFY1 عبر @YouTube,abu saad2015 arrival of syrian refugee trains to austria via,2019-09-24 01:23:07,,train,,AT,010100000076711B0DE05D30409A99999999194840,,twitter,68
77,"['iceland', 'syria']",0.837,,0.921,RT @KhalfNews: #بريطانيا: صحيفة تيليغراف: 10 آلاف ايسلندي يعرضون استضافة لاجئين سوريين في منازلهم,britain telegraph 10 000 icelanders offer to host syrian refugees in their homes,2019-09-24 05:18:24,10000.0,,,,,,twitter,69
78,"['budapest', 'vienna']",0.889,,0.993,أ ف ب: 3650 مهاجرًا في عدد قياسي ليوم واحد توجهوا بالقطار من بودابست الى فيينا يوم الإثنين,afp 3650 immigrants in a record number of one day took the train from budapest to vienna on monday,2019-09-24 06:53:35,,train,HU110,AT13,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,70
79,"['vienna', 'hungary', 'austria', 'syria']",0.998,['http://pbs.twimg.com/media/CNzIlbLWIAACsWq.png'],0.536,RT @AlyaaGad: من فيديو مظاهرة في فيينا: الآلاف يرحبون باللاجئين السوريين القادمين من المجر بعد السماح لهم بالعبور الى النمسا. http://t.co/L…,from video demonstration in vienna thousands welcome syrian refugees from hungary after being allowed to cross into austria,2019-09-24 06:54:20,,,HU,AT,010100000076711B0DE05D30409A99999999194840,,twitter,71
80,"['budapest', 'vienna']",0.951,,0.989,"وصول 3650 مهاجرًا من بودابست إلى فيينا في يوم واحد عبر القطار
http://t.co/soV6QoRuMg",arrival of 3650 immigrants from budapest to vienna in one day by train,2019-09-24 07:05:37,,train,HU110,AT13,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,72
81,"['vienna', 'budapest', 'austria']",0.771,,0.996,"RT @AJABreaking: عاجل | الشرطة النمساوية: 3650 لاجئا وصلوا إلى #فيينا قادمين من #بودابست الإثنين وهو ""رقم قياسي ليوم واحد""",urgent austrian police 3650 refugees arrived in vienna coming from budapest monday a record for one day,2019-09-24 07:08:33,3650.0,,HU110,,010100000076711B0DE05D30409A99999999194840,,twitter,73
82,"['vienna', 'budapest', 'austria']",0.823,,0.99,"RT @RassdNewsN: #رصد | #عاجل | الشرطة النمساوية: 3650 لاجئا وصلوا إلى #فيينا قادمين من #بودابست أمس وهو ""رقم قياسي ليوم واحد"".",monitor urgent austrian police 3650 refugees arrived in vienna coming from budapest yesterday a record for a day,2019-09-24 07:16:04,3650.0,,HU110,,010100000076711B0DE05D30409A99999999194840,,twitter,74
83,"['budapest', 'vienna', 'austria']",0.015,,0.989,"عارفيين ايه ده ؟؟؟!!

الصورة الاولى دي : قطار نمساوى (بودابست - فيينا) يحمل لاجئين ،توقف فى أحد المحطات لتزويده... http://t.co/GonXJEW3Dw",the first photo austrian train budapest vienna carrying refugees stop at one of the stations to supply it,2019-09-24 07:30:34,1.0,train,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,75
84,"['vienna', 'syria', 'austria']",0.499,['http://pbs.twimg.com/media/CNzhsGTWwAAvLvU.jpg'],0.514,"RT @AbouAmmarr: #استحوا_يا
قبل ساعات وصل أكثر من 1000 لاجئ إلى محطة قطارات فيينا معظمهم سوريون واستقبلهم النمساويين بالأطعمة والألبسة http:…",astahia a hours ago more than 1000 refugees arrived at the vienna train station mostly syrians and the austrians received them with food and clothing,2019-09-24 08:44:02,1000.0,train,,,010100000076711B0DE05D30409A99999999194840,,twitter,76
85,"['vienna', 'turkey', 'syria']",0.564,,0.876,"RT @khulods: أمس فقط الأثنين وصل 3650 لاجئاً سورياً إلى #فيينا 
اللاجئين السوريين تجاوز عددهم 4 ملايين لاجئ تحتضن تركيا وحدها قرابة الـ40% …",only yesterday monday 3 650 syrian refugees arrived in vienna syrian refugees exceeded 4 million refugees turkey alone has about 40,2019-09-24 08:44:58,,,,,010100000076711B0DE05D30409A99999999194840,,twitter,77
86,"['hungary', 'budapest']",0.543,['http://pbs.twimg.com/media/CNzoIV6VEAAiLWt.jpg'],0.646,RT @klmty1: عاجل |المجر تعيد فتح محطة القطارات الرئيسية في بودابست مع عدم السماح بدخول اللاجئين لها… http://t.co/fVwA0LcX4W http://t.co/3z3…,klmty1 urgent hungary reopens main railway station in budapest with no refugees allowed to enter,2019-09-24 09:12:09,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,78
87,"['budapest', 'austria']",0.983,,0.501,عاجل | محطة قطار شرق #بودابست تستأنف عملها دون السماح للاجئين بالدخول إليها وركوب القطارات. #النمسا http://t.co/BZbwhXjkvG,urgent the train station east of budapest resumes its work without allowing refugees to enter it and train trains austria,2019-09-24 10:10:35,,train,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,79
